"ResponseId","demo_role","demo_gender","demo_age","demo_domain","demo_year_study","demo_ai_know","ml_dl_famil","aware_dom","ai_courses","aware_everyday","used_ai","att_pos_1","att_pos_2","att_pos_3","att_pos_4","att_neg_1","att_neg_2","att_neg_3","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","f_aifm_energy","f_aifm_importance","f_aifm_impact","f_aifm_necessity","f_aifm_key_roles","fcf_studyPlace","fcf_aePlace","fcf_techSAT","fcf_rmatSAT","fcf_cleanSAT","fcf_atmpSAT","fcf_techAGT","fcf_amentNOM","fcf_topics"
"R_TbmGFDfG96K0KL7","Educator","Male","> 65","Facility","Year 1,Year 4 (or more)","Somewhat good","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Definitely yes","Very important","Somewhat positive","Somewhat disagree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security,Other (please specify)","Other (please specify)","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Somewhat satisfied","Strongly agree","Probably yes","Predictive Maintenance,Space Optimization,Security & Privacy"
"R_C9YR9vjv4e7pcJ3","Educator","Female","25-34","Facility","Year 1,Year 2,Year 3,Year 4 (or more)","Neither good nor bad","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Definitely yes","Extremely important","Neither positive nor negative","Strongly agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security,Other (please specify)","Other (please specify)","Other (please specify)","Somewhat dissatisfied","Somehow satisfied","Extremely dissatisfied","Somewhat satisfied","Strongly agree","Definitely not","Predictive Maintenance,Space Optimization,Security & Privacy"
"R_1dABawV98qHwInP","Student","Male","18-24","Facility","Year 4 (or more)","Somewhat good","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Probably yes","Moderately important","Somewhat positive","Neither agree nor disagree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security","Library","Classroom/Lecture Hall","Somewhat satisfied","Somehow satisfied","Extremely satisfied","Extremely satisfied","Agree","Probably not","Predictive Maintenance"
"R_2cwQOKKZJwIUHXP","Student","Female","18-24","Facility","Year 1","Neither good nor bad","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Might or might not","Slightly important","Somewhat negative","Strongly disagree","Space Optimization,Predictive Maintenance","Other (please specify)","Classroom/Lecture Hall","Extremely satisfied","Extremely satisfied","Extremely satisfied","Neither satisfied nor dissatisfied","Disagree","Definitely yes","Predictive Maintenance"
"R_ZlZvk5H5Pl6Uz73","Student","Male","18-24","Facility","Year 4 (or more)","Neither good nor bad","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Definitely yes","Very important","Somewhat positive","Somewhat agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security","Classroom","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Somewhat satisfied","Agree","Might or might not","Space Optimization"
"R_2DZH4nQGU6bZo2K","Student","Female","18-24","Facility","Year 2","Neither good nor bad","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Probably yes","Very important","Somewhat positive","Somewhat agree","Energy Efficiency,Predictive Maintenance,Security","Classroom","Library","Extremely satisfied","Somehow satisfied","Extremely satisfied","Extremely satisfied","Agree","Might or might not","Space Optimization"
"R_3fN9kNRLFVsrwL7","Student","Female","18-24","Facility","Year 4 (or more)","Neither good nor bad","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Probably yes","Very important","Somewhat positive","Strongly agree","Energy Efficiency,Predictive Maintenance","Cafeteria","Classroom/Lecture Hall","Neither satisfied nor dissatisfied","Somehow satisfied","Extremely satisfied","Somewhat satisfied","Agree","Probably yes","Predictive Maintenance,Space Optimization"
"R_aaEI3AAEoWDHI41","Student","Female","18-24","Facility","Year 2","Somewhat good","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Definitely yes","Very important","Somewhat positive","Somewhat agree","Predictive Maintenance","Cafeteria","Computer Lab","Somewhat satisfied","Somehow dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Agree","Probably yes","Predictive Maintenance,Space Optimization"
"R_1MS42UCLOBzFnUw","Student","Male","18-24","Facility","Year 4 (or more)","Neither good nor bad","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Probably yes","Very important","Somewhat positive","Strongly agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security","Library","Computer Lab","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely satisfied","Extremely satisfied","Agree","Might or might not","Space Optimization"
"R_1ILWAX5b5COsm9H","Student","Female","18-24","Facility","Year 4 (or more)","Somewhat good","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Probably yes","Moderately important","Somewhat positive","Somewhat disagree","Space Optimization,Energy Efficiency","Library","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Extremely satisfied","Somewhat satisfied","Agree","Might or might not","Space Optimization"
