"demo_role","demo_gender","demo_age","demo_domain","demo_year_study","demo_ai_know","f_aifm_energy","f_aifm_importance","f_aifm_impact","f_aifm_necessity","f_aifm_key_roles","fcf_studyPlace","fcf_aePlace","fcf_techSAT","fcf_rmatSAT","fcf_cleanSAT","fcf_atmpSAT","fcf_techAGT","fcf_amentNOM","fcf_topics"
"Educator","Male","> 65","Facility","Year 1,Year 4 (or more)","Somewhat good","Definitely yes","Very important","Somewhat positive","Somewhat disagree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security,Other (please specify)","Other (please specify)","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Somewhat satisfied","Strongly agree","Probably yes","Predictive Maintenance,Space Optimization,Security & Privacy"
"Educator","Female","25-34","Facility","Year 1,Year 2,Year 3,Year 4 (or more)","Neither good nor bad","Definitely yes","Extremely important","Neither positive nor negative","Strongly agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security,Other (please specify)","Other (please specify)","Other (please specify)","Somewhat dissatisfied","Somehow satisfied","Extremely dissatisfied","Somewhat satisfied","Strongly agree","Definitely not","Predictive Maintenance,Space Optimization,Security & Privacy"
"Student","Male","18-24","Facility","Year 4 (or more)","Somewhat good","Probably yes","Moderately important","Somewhat positive","Neither agree nor disagree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security","Library","Classroom/Lecture Hall","Somewhat satisfied","Somehow satisfied","Extremely satisfied","Extremely satisfied","Agree","Probably not","Predictive Maintenance"
"Student","Female","18-24","Facility","Year 1","Neither good nor bad","Might or might not","Slightly important","Somewhat negative","Strongly disagree","Space Optimization,Predictive Maintenance","Other (please specify)","Classroom/Lecture Hall","Extremely satisfied","Extremely satisfied","Extremely satisfied","Neither satisfied nor dissatisfied","Disagree","Definitely yes","Predictive Maintenance"
"Student","Male","18-24","Facility","Year 4 (or more)","Neither good nor bad","Probably yes","Moderately important","Somewhat positive","Somewhat agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security","Library","Computer Lab","Neither satisfied nor dissatisfied","Somehow satisfied","Extremely satisfied","Extremely satisfied","Strongly agree","Probably yes","Space Optimization"
"Student","Male","18-24","Facility","Year 4 (or more)","Neither good nor bad","Definitely yes","Very important","Somewhat positive","Somewhat agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security","Classroom","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Somewhat satisfied","Agree","Might or might not","Space Optimization"
"Student","Female","18-24","Facility","Year 2","Neither good nor bad","Probably yes","Very important","Somewhat positive","Somewhat agree","Energy Efficiency,Predictive Maintenance,Security","Classroom","Library","Extremely satisfied","Somehow satisfied","Extremely satisfied","Extremely satisfied","Agree","Might or might not","Space Optimization"
"Student","Female","18-24","Facility","Year 4 (or more)","Neither good nor bad","Probably yes","Very important","Somewhat positive","Strongly agree","Energy Efficiency,Predictive Maintenance","Cafeteria","Classroom/Lecture Hall","Neither satisfied nor dissatisfied","Somehow satisfied","Extremely satisfied","Somewhat satisfied","Agree","Probably yes","Predictive Maintenance,Space Optimization"
"Student","Male","18-24","Facility","Year 4 (or more)","Somewhat good","Might or might not","Slightly important","Somewhat positive","Somewhat agree","Space Optimization,Energy Efficiency,Predictive Maintenance","Outdoor area","Other (please specify)","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Extremely satisfied","Agree","Probably not","Space Optimization"
"Student","Female","18-24","Facility","Year 1","Neither good nor bad","Probably yes","Moderately important","Somewhat positive","Somewhat agree","Energy Efficiency,Predictive Maintenance","Library","Classroom/Lecture Hall","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely satisfied","Neither agree nor disagree","Might or might not","Predictive Maintenance,Space Optimization,Security & Privacy"
